gene,log2FC_tumor_vs_normal,pvalue,FDR
MPDU1,-0.25504171496836303,0.2901943733723969,0.42590379115221505
MMP28,1.2775071023465039,5.848868466636077e-06,0.00015467178742427877
CCL4,-0.4103670030661526,0.1365088793205455,0.24714489294516923
MRM1,-0.2571357546155384,0.21469242534811556,0.3422341659776671
PHF20L1,-0.13398814645930557,0.46114026302653255,0.5917505431175617
LRRC6,0.4193039446706739,0.055030922025518784,0.1289057658355334
CCNT1,0.3069313169675212,0.17019136761438328,0.28881170822411995
PUS7L,0.27950205245241144,0.23383626689325454,0.36425292255722225
KRI1,0.08794186822634309,0.7253090327869793,0.8103072982538884
ILF3,-0.5529300649633173,0.00789635686123467,0.034910026440187945
SLC44A2,-1.2397529238039038,0.0003102459791484825,0.003273135794711917
AP1M2,-1.1185176898767688,0.000770551984522567,0.006367826391831641
CDKN2D,-0.7330898237387999,0.00509502333699332,0.025618348503049348
MTUS1,0.6731000809428211,0.022066697046285083,0.06984846929361477
KLK14,-0.5623790831491875,0.08051242062666905,0.1686546251185654
SIGLEC9,-0.4954315916387251,0.021705657722000078,0.06916764054174053
KLK10,0.07851977028706791,0.8351729942821167,0.8916148417820379
KLK8,0.12789672085500303,0.789473622954332,0.8582581687940706
NGDN,0.5573609929186438,0.0336870861458052,0.09232891122444031
RIPK3,0.3818542881185474,0.1081880989303215,0.20837224842372798
ADCY4,0.8887077173658247,9.178315092516145e-05,0.0013250045318266266
RAB2B,0.12193302308029752,0.5386945956713458,0.6595731569653471
BCL2L2,0.3692687340630165,0.20989957792912073,0.33653413169307966
AJUBA,0.218208556965529,0.347296543296402,0.4818369465397789
DTD2,0.14859751201295168,0.5869536070803041,0.7000530292030118
PARP2,0.3558278227573983,0.1679498163010186,0.28629816861898827
HEATR5A,-0.03427040080613475,0.8714700373130514,0.9163005565037027
FOXA1,0.6709869930208505,0.17177626814850527,0.2907984701186539
SNX6,-0.2674556110080437,0.2012270224366233,0.3268881908285851
EAPP,0.26816953498307505,0.24508723910190755,0.3774176742017643
EGLN3,-0.31323190435374615,0.40932536796033947,0.5424646997198826
MIS18BP1,0.03200997954838991,0.8862084048121075,0.9258673097831444
NRL,0.22767653776059982,0.24837313963956192,0.381096669626931
RNASE1,0.11547730865789774,0.7929043864241614,0.8607428085963484
NEDD8,-0.23403477213640933,0.17799681170768597,0.2982239587883671
DAD1,-0.8382414302326637,0.0375601222270127,0.09966418123010606
TEP1,-0.5889490214178528,0.014105385196386773,0.052217725488484315
EPB41L4A,0.9066168902289515,4.724207719686336e-06,0.00013158366770197772
CDO1,1.1843515105785694,1.2856847950040557e-05,0.0002893582643896026
REEP5,-0.4408394367756552,0.15648927726028042,0.2723284695105304
ITFG1,0.324197960140304,0.19517019261436303,0.319164404488484
QRICH2,-0.7182089551622917,0.009825210448611083,0.040685466346814726
FOXJ1,-0.10300256849732436,0.7025107979590077,0.7934221384533734
SEC14L1,0.215098277260255,0.08782769134402758,0.17911323598500928
RHBDF2,-0.3621748895972319,0.06637726417176373,0.14703518740483934
AANAT,-0.06650383228620571,0.7671068262416206,0.8417401721884741
ARHGEF6,0.23236782640227283,0.35976645178154554,0.4941906827039452
MAP7D3,0.3154946070340965,0.08323539960452687,0.17275256691511667
FGF13,-0.053120227631102246,0.8421144085422397,0.8963630475222537
ASH2L,0.0930578360696499,0.5591296971534856,0.6767057165028655
TTI2,-0.49469233187185724,0.05333850698355286,0.12596110417729806
ART1,0.5627452432321414,0.024874024980807215,0.07591771511985776
CHRNA10,0.02031968015434571,0.9201828490103019,0.9502047423012407
CDKN1C,0.49781288875379603,0.0960732419370424,0.1909766602279191
SGOL1,-0.525541582263612,0.027048621189795636,0.08002696727108975
RPS4Y1,0.13678542724577802,0.07424641332084575,0.15927567620429195
VCY1B,-0.06447319173713162,0.018952370471178332,0.06329992387745323
VCY,-0.06447319173713162,0.018952370471178332,0.0632942408989269
CDY2B,0.0028021421596158185,0.32558198801619365,0.46126792578242354
CDH15,0.1571224700860574,0.572852611673743,0.6879708269745376
KLF16,-1.1483801006694483,0.001016188009662777,0.007770295605446281
TMEM8A,-1.5852868613056952,1.1474338455187857e-06,4.2705787828215844e-05
DOHH,-0.8145297947036019,0.0002291234024874556,0.0026163895800140266
MAU2,-0.6966191785555482,0.030958520957591808,0.08719623700401932
SHC2,0.7512763299460605,0.011419544204368047,0.04526824446141795
LPPR3,0.3984723699647654,0.11214254653882365,0.2138368975652066
INS-IGF2,0.5248094426425594,0.07474263789169276,0.16004205587605627
ABHD17A,-0.4654758038104214,0.030761591078594854,0.08688933480411618
LBP,-0.48938733598554873,0.2411063209339909,0.37286509988699207
SYT5,0.38554328449952213,0.1810136316221157,0.3018846542478866
TNNI3,0.44180448183985477,0.086168879128853,0.1767706576229139
CBFA2T3,0.6876489961240635,0.017027964777296234,0.05902518732219726
GAMT,0.3100930624001226,0.34352795681088955,0.4777909996405426
HDHD1,-0.10566247662232797,0.6107950880711009,0.7201091657342138
ERMARD,0.1078201131793386,0.6460295396905757,0.74835168234589
PHF10,0.28059819480602544,0.27565024680985845,0.41132317892457354
PRRG3,1.4326572176280985,1.9984980658890674e-08,1.5506005005904264e-06
GALNT8,0.32589353055111947,0.1282359896694912,0.235983337837974
KCNA5,0.4864369203552435,0.012477464726543179,0.04811942793580429
EFCAB4B,0.3201794974840495,0.12218390928217619,0.2275648418824184
NXNL2,0.7794815310148726,0.005032434292849158,0.02537427607066793
STARD8,0.4299551012734275,0.07731654861581137,0.1639632149831027
FAM155B,0.1356621687990579,0.44748036873865615,0.5787924676897681
GDPD2,0.39844963994331706,0.09382067731660548,0.1876763377375052
SAT1,-0.741904444803529,0.05211042361270514,0.12425142884899133
GNL3L,-0.6762093035867958,0.0002444547948576396,0.0027394354207487077
SH3BP4,-0.27580827070202574,0.30097612266682366,0.43706778275706804
MOSPD2,1.3674303668635597,0.0015534605960510648,0.010679236381389215
DOCK6,0.10308615234397944,0.5502281835743107,0.6688144457894899
ECSIT,-0.34586710744382154,0.19260648346638468,0.3162069191886456
LDLR,0.4939152834334992,0.009438022325584541,0.039560100118095944
ELOF1,-0.17484851727896178,0.4164923025817896,0.5493912729739046
TSPAN16,-0.15496863818975537,0.2680670000810525,0.40267314117041303
C19orf80,0.19320018104410863,0.3823400843344341,0.5167776639866968
PRKCSH,-0.9146162332337093,0.0018389848542588495,0.012050837170164447
CNN1,2.245948369064024,2.9567682874980503e-09,3.37642778648499e-07
CDC16,-0.17542921656245714,0.5506980272745089,0.6692422875899794
ZSCAN10,0.39763711733270535,0.052221345372086794,0.12440263634043244
THEM6,-1.4462763653824147,8.995646010060702e-05,0.0013101082652627967
EXOC3L2,-0.36498602588014917,0.08286048144611598,0.17219832034991614
PVRL2,-0.5661045207430009,0.12300488650334544,0.22879705774588033
APOE,-1.235360009012572,0.0019359425711340484,0.012490713898764721
TOMM40,-0.6089103601508574,0.02426164706435079,0.07471583888910012
APOC1,-1.3279871768543359,0.010116585890097717,0.04153690361985371
GADD45G,-0.014265617922442075,0.9652440606755925,0.9802665554046517
LRCH2,0.5995847425879723,1.296837160836068e-06,4.704663043047526e-05
DPP6,1.8784247016904074,8.32632803341918e-06,0.0002045752332709764
XPO7,-0.27677271544615367,0.38989875172303357,0.5244488016519776
ACE2,-0.12155283270119022,0.7073870325046944,0.7969127525133507
FAM98C,0.16913137243718968,0.4331938609524105,0.5648692803102281
SAFB2,0.09263402372387741,0.6592751193559045,0.7589195922397458
RPL36,-0.2420348333503357,0.4195758116946374,0.5520068006051166
ATP8B3,0.12669096428018056,0.5446704652481378,0.664011884612628
GDF1,-0.1536409254858504,0.44960505366053416,0.5808631629817103
NCAN,-0.7738082841415737,0.1017331365388687,0.19893292256841635
KIF1A,-1.1929704615150754,0.036839117290057025,0.09836941927559119
GTPBP3,-0.6251221521078838,0.000859187526526115,0.006880777217069028
PLVAP,0.07204370945065275,0.8086570788225134,0.8723773467619363
BST2,-1.6375025485473778,0.000602815971923467,0.005306096749388624
SLC27A1,0.1689919026422917,0.17347307019759273,0.29293303415380123
NSUN5,-0.7553794555455529,0.0048960154503457365,0.024831033900532856
USHBP1,0.22260448974239466,0.1779978813780435,0.298235811016665
COLGALT1,-1.4892678077611023,1.3209672745358324e-05,0.00029597324730904303
DDA1,-0.5598394410683296,0.021850936102756572,0.06941048108000657
MRPL34,-0.7008687373031663,0.027778446940813165,0.0811455380741409
PGLS,-1.0204924852453212,0.001448921490317631,0.010150124066755428
LSM7,-1.0994622341284197,2.679748909729418e-05,0.0005094277130728799
TULP4,-0.3336231709921651,0.030728956013091988,0.08683781748469105
SNX9,-0.0026930057343466096,0.9917801141193123,0.995644192486011
RTN4IP1,-0.061935491314330404,0.7639634303621663,0.8394954663583354
QRSL1,-0.03031945058402652,0.838173671795093,0.8934295654064056
C6orf203,-0.1453045158401891,0.503418878314057,0.6297200856635288
RSPH3,0.03767926277735789,0.8442093527904007,0.8979830554555176
MAS1,0.36770019902512324,0.03147474328138496,0.08817748287551239
ACSBG2,0.3987021613037912,0.04400333464886281,0.11141081125886176
MLLT1,-0.7578798542370966,0.02709773400918828,0.08012217839067848
FUT5,0.21262738863766917,0.21946569932045043,0.34806060519028115
BMP15,0.3324819845529964,0.023557166093940332,0.07323281953495081
MLLT4,-0.16600358881312793,0.5046209358129831,0.6307526318781849
ACTN4,-0.9611201095224562,0.012016287219086883,0.04692762266033931
STK33,0.8745044502322461,0.001681773412226834,0.011296721893824635
NDUFA10,0.3740368293873768,0.006084478498871247,0.028989476957688776
EPO,0.1215973954326483,0.22245854378805818,0.3515365674749942
ARPC1B,-1.4590806105488419,2.162315606714519e-05,0.00043285078748753387
CACNG6,0.29884358506946646,0.11299179835774467,0.21492609912871025
ZSWIM6,0.2957599258360659,0.2009035056663686,0.3264980066728089
FCHO1,-0.32660300576864554,0.2140101353975006,0.34141734411961955
UNC13A,0.414919972833134,0.06884875524769123,0.15116039796461636
MAP1S,-0.7540322991852726,0.0006869240549362595,0.005852394936883825
KLHDC7B,-1.4676813335714636,0.00017459748732539997,0.0021567672404830293
SCO2,-1.5224867720996271,2.3882131426390942e-05,0.00046690960837315675
